"accession_no","sequence_name","gene","sublineage","state","analyses"
"LC274918","tundra_swan_Tottori_3111S001_2016","HA","2.3.4","NA","Geo"
"LC279808","duck_Vietnam_LBM835_2015","HA","2.3.4","SEA","Geo"
"LC279864","muscovy_duck_Quang_Ninh_254_2016","HA","2.3.4","SEA","Geo"
"LC317086","pintail_Hokkaido_X8_2016","HA","2.3.4","NA","Geo"
"LC318639","mute_swan_Aomori_4_2016","HA","2.3.4","NA","Geo"
"LC318864","white_fronted_goose_Miyagi_1_2016","HA","2.3.4","NA","Geo"
"MF037862","green_winged_teal_Egypt_877_2016","HA","2.3.4","WA","Geo"
"MF073909","peacock_Belgium_1017_2017","HA","2.3.4","E","Geo"
"MF182415","goose_Guangdong_QY01_2016","HA","2.3.4","CN","Geo"
"MF362108","common_teal_Shanghai_JDS36_2016","HA","2.3.4","CN","Geo"
"MF362113","mandarin_duck_Shanghai_PD4_2016","HA","2.3.4","CN","Geo"
"MF407528","cat_Zhejiang_C1_2016","HA","2.3.4","CN","Geo"
"MF407529","cat_Zhejiang_C2_2016","HA","2.3.4","CN","Geo"
"MF620120","wildfowl_Shandong_SD04_2016","HA","2.3.4","CN","Geo"
"MF620123","wildfowl_Shandong_SD02_2015","HA","2.3.4","CN","Geo"
"MF960003","chicken_Guangdong_GD1602_2016","HA","2.3.4","CN","Geo"
"AB517661","house_crow_Hong_Kong_7677_2008","HA","2.3.2","CN","Geo"
"AB517663","grey_heron_Hong_Kong_779_2009","HA","2.3.2","CN","Geo"
"AB517665","whooper_swan_Mongolia_2_2009","HA","2.3.2","NA","Geo"
"AB521161","large_billed_crow_Hong_Kong_885_2009","HA","2.3.2","CN","Geo"
"AB521163","crested_myna_Hong_Kong_1178_2009","HA","2.3.2","CN","Geo"
"AB521999","bar_headed_goose_Mongolia_X25_2009","HA","2.3.2","NA","Geo"
"AB522001","common_goldeneye_Mongolia_X59_2009","HA","2.3.2","NA","Geo"
"AB557629","feral_pigeon_Hong_Kong_3409_2009","HA","2.3.2","CN","Geo"
"AB557633","oriental_magpie_robin_Hong_Kong_9298_2009","HA","2.3.2","CN","Geo"
"AB569353","whooper_swan_Mongolia_7_2010","HA","2.3.2","NA","Geo"
"AB569607","whooper_swan_Mongolia_11_2010","HA","2.3.2","NA","Geo"
"AB569609","whooper_swan_Mongolia_21_2010","HA","2.3.2","NA","Geo"
"AB612901","duck_Hokkaido_WZ83_2010","HA","2.3.2","NA","Geo"
"AB629713","peregrine_falcon_Aomori_7_2011","HA","2.3.2","NA","Geo"
"AB675503","tufted_duck_Fukushima_4_2011","HA","2.3.2","NA","Geo"
"AB675739","chicken_Miyazaki_M6_2011","HA","2.3.2","NA","Geo"
"AB684243","chicken_Kagoshima_I_2_2011","HA","2.3.2","NA","Geo"
"AB700635","duck_Vietnam_OIE_2533_2011","HA","2.3.2","SEA","Geo"
"AB741550","muscovy_duck_Vietnam_LBM14_2011","HA","2.3.2","SEA","Geo"
"AB741566","muscovy_duck_Vietnam_LBM66_2011","HA","2.3.2","SEA","Geo"
"AB742271","duck_Vietnam_LBM133_2012","HA","2.3.2","SEA","Geo"
"AB747123","common_pochard_Hyogo_2801B004_2011","HA","2.3.2","NA","Geo"
"AB760239","hooded_crane_Kagoshima_1_2010","HA","2.3.2","NA","Geo"
"AB786676","muscovy_duck_Vietnam_LBM227_2012","HA","2.3.2","SEA","Geo"
"AB787209","muscovy_duck_Vietnam_LBM260_2012","HA","2.3.2","SEA","Geo"
"AB807753","muscovy_duck_Vietnam_LBM315_2012","HA","2.3.2","SEA","Geo"
"AB807880","muscovy_duck_Vietnam_LBM295_2012","HA","2.3.2","SEA","Geo"
"AB829737","muscovy_duck_Vietnam_LBM398_2013","HA","2.3.2","SEA","Geo"
"AB847565","muscovy_duck_Vietnam_LBM438_2013","HA","2.3.2","SEA","Geo"
"AB849460","muscovy_duck_Vietnam_LBM436_2013","HA","2.3.2","SEA","Geo"
"AB972691","duck_Vietnam_LBM568_2014","HA","2.3.2","SEA","Geo"
"AB972731","duck_Vietnam_LBM578_2014","HA","2.3.2","SEA","Geo"
"AB972739","muscovy_duck_Long_An_43_2013","HA","2.3.2","SEA","Geo"
"AY518362","duck_China_E319_2_03","HA","2.3.2","CN","Geo"
"AY651363","Dk_HN_5806_2003","HA","2.3.2","CN","Geo"
"AY651366","Ph_ST_44_2004","HA","2.3.2","CN","Geo"
"AY737289","chicken_Guangdong_191_04","HA","2.3.2","CN","Geo"
"AY737296","chicken_Guangdong_178_04","HA","2.3.2","CN","Geo"
"CY016867","chicken_Viet_Nam_10_2005","HA","2.3.2","SEA","Geo"
"CY016883","duck_Viet_Nam_12_2005","HA","2.3.2","SEA","Geo"
"CY028961","silky_chicken_Shantou_475_2004","HA","2.3.2","CN","Geo"
"CY028970","duck_Hunan_733_2004","HA","2.3.2","CN","Geo"
"CY029535","Muscovy_duck_Vietnam_1455_2006","HA","2.3.2","SEA","Geo"
"CY036045","peregrine_falcon_Hong_Kong_5211_2006","HA","2.3.2","CN","Geo"
"CY036093","peregrine_falcon_Hong_Kong_1143_2007","HA","2.3.2","CN","Geo"
"CY036165","red_billed_starling_Hong_Kong_4925_2007","HA","2.3.2","CN","Geo"
"CY036197","little_egret_Hong_Kong_8550_2007","HA","2.3.2","CN","Geo"
"CY036205","little_egret_Hong_Kong_8863_2007","HA","2.3.2","CN","Geo"
"CY036213","grey_heron_Hong_Kong_3088_2007","HA","2.3.2","CN","Geo"
"CY036221","common_buzzard_Hong_Kong_9213_2007","HA","2.3.2","CN","Geo"
"CY036229","black_crowned_night_heron_Hong_Kong_659_2008","HA","2.3.2","CN","Geo"
"CY036237","great_egret_Hong_Kong_807_2008","HA","2.3.2","CN","Geo"
"CY036245","grey_heron_Hong_Kong_1046_2008","HA","2.3.2","CN","Geo"
"CY036253","magpie_robin_Hong_Kong_1097_2008","HA","2.3.2","CN","Geo"
"CY036261","magpie_robin_Hong_Kong_1897_2008","HA","2.3.2","CN","Geo"
"CY063318","great_crested_grebe_Qinghai_1_2009","HA","2.3.2","CN","Geo"
"CY089421","duck_India_02CA10_2011","HA","2.3.2","WA","Geo"
"CY089470","chicken_India_CL03485_2011","HA","2.3.2","WA","Geo"
"CY095689","chicken_Viet_Nam_TMU009_2008","HA","2.3.2","SEA","Geo"
"CY098337","duck_Lao_463_2010","HA","2.3.2","SEA","Geo"
"CY098853","water_Hunan_7_2009","HA","2.3.2","CN","Geo"
"CY110854","common_buzzard_Bulgaria_38WB_2010","HA","2.3.2","E","Geo"
"CY146644","duck_Hunan_S4030_2011","HA","2.3.2","CN","Geo"
"CY146692","duck_Hunan_S4150_2011","HA","2.3.2","CN","Geo"
"CY146700","duck_Hunan_S4220_2011","HA","2.3.2","CN","Geo"
"CY146708","duck_Hunan_S4234_2011","HA","2.3.2","CN","Geo"
"DQ320877","duck_Guangxi_351_2004","HA","2.3.2","CN","Geo"
"DQ320894","chicken_Guangxi_2448_2004","HA","2.3.2","CN","Geo"
"DQ320895","chicken_Guangxi_2461_2004","HA","2.3.2","CN","Geo"
"DQ320896","goose_Guangxi_345_2005","HA","2.3.2","CN","Geo"
"DQ320899","duck_Guangxi_793_2005","HA","2.3.2","CN","Geo"
"DQ320900","duck_Guangxi_951_2005","HA","2.3.2","CN","Geo"
"DQ320902","duck_Hunan_127_2005","HA","2.3.2","CN","Geo"
"DQ320911","duck_Hunan_1265_2005","HA","2.3.2","CN","Geo"
"DQ320912","duck_Hunan_1608_2005","HA","2.3.2","CN","Geo"
"DQ320923","grey_heron_Hong_Kong_728_2004","HA","2.3.2","CN","Geo"
"DQ320924","grey_heron_Hong_Kong_837_2004","HA","2.3.2","CN","Geo"
"DQ320925","Chinese_pond_heron_Hong_Kong_18_2005","HA","2.3.2","CN","Geo"
"DQ320939","duck_Vietnam_568_2005","HA","2.3.2","SEA","Geo"
"DQ992719","goose_Guangxi_3316_2005","HA","2.3.2","CN","Geo"
"DQ992722","goose_Guangxi_3714_2005","HA","2.3.2","CN","Geo"
"DQ992726","duck_Guangxi_4016_2005","HA","2.3.2","CN","Geo"
"DQ992728","duck_Guangxi_4196_2005","HA","2.3.2","CN","Geo"
"DQ992741","duck_Guangxi_89_2006","HA","2.3.2","CN","Geo"
"DQ992782","pheasant_Shantou_2239_2006","HA","2.3.2","CN","Geo"
"DQ992800","goose_Yunnan_4804_2005","HA","2.3.2","CN","Geo"
"DQ992807","duck_Yunnan_5877_2005","HA","2.3.2","CN","Geo"
"EF124794","Owstons_civet_Vietnam_1_2005","HA","2.3.2","SEA","Geo"
"EPI347293","duck_Vietnam_NCVD_432_2010","HA","2.3.2","SEA","Geo"
"EPI347295","duck_Vietnam_NCVD_456_2010","HA","2.3.2","SEA","Geo"
"EPI347299","duck_Vietnam_NCVD_461_2010","HA","2.3.2","SEA","Geo"
"EPI347304","Guangdong_Shenzhen_1_2011_H5N1","HA","2.3.2","CN","Geo"
"EPI353364","crow_Bangladesh_1058_2011","HA","2.3.2","WA","Geo"
"EPI353370","duck_Bangladesh_4117T_2011","HA","2.3.2","WA","Geo"
"EPI353379","waterfowl_Bangladesh_31935_2011","HA","2.3.2","WA","Geo"
"EPI353381","crow_Bangladesh_315T_2011","HA","2.3.2","WA","Geo"
"EPI356861","chicken_Nepal_T9_BH_11","HA","2.3.2","WA","Geo"
"EPI356863","duck_Nepal_5_TZoo_11","HA","2.3.2","WA","Geo"
"EPI356865","crow_Nepal_CT1_12","HA","2.3.2","WA","Geo"
"EPI356869","chicken_Nepal_T1P_12","HA","2.3.2","WA","Geo"
"EPI375432","Hong_Kong_5923_2012","HA","2.3.2","CN","Geo"
"EPI407283","chicken_Nepal_PT_16_12","HA","2.3.2","WA","Geo"
"EPI424362","duck_Vietnam_NCVD_1206_2012","HA","2.3.2","SEA","Geo"
"EPI424378","duck_Vietnam_NCVD_680_2011","HA","2.3.2","SEA","Geo"
"EPI424402","chicken_Vietnam_NCVD_699_2011","HA","2.3.2","SEA","Geo"
"EPI424672","duck_Vietnam_NCVD_1940_2012","HA","2.3.2","SEA","Geo"
"EPI424688","duck_Vietnam_NCVD_1974_2012","HA","2.3.2","SEA","Geo"
"EPI424704","duck_Vietnam_NCVD_1869_2012","HA","2.3.2","SEA","Geo"
"EPI424744","duck_Vietnam_NCVD_1932_2012","HA","2.3.2","SEA","Geo"
"EPI424768","duck_Vietnam_NCVD_851_2011","HA","2.3.2","SEA","Geo"
"EPI424776","duck_Vietnam_NCVD_859_2011","HA","2.3.2","SEA","Geo"
"EPI424832","duck_Vietnam_NCVD_711_2011","HA","2.3.2","SEA","Geo"
"EPI424840","duck_Vietnam_NCVD_952_2011","HA","2.3.2","SEA","Geo"
"EPI424848","duck_Vietnam_NCVD_1018_2011","HA","2.3.2","SEA","Geo"
"EPI424864","duck_Vietnam_NCVD_1025_2011","HA","2.3.2","SEA","Geo"
"EPI424880","duck_Vietnam_NCVD_1029_2011","HA","2.3.2","SEA","Geo"
"EPI424888","duck_Vietnam_NCVD_920_2011","HA","2.3.2","SEA","Geo"
"EPI424912","duck_Vietnam_NCVD_943_2011","HA","2.3.2","SEA","Geo"
"EPI424920","duck_Vietnam_NCVD_945_2011","HA","2.3.2","SEA","Geo"
"EPI424944","duck_Vietnam_NCVD_885_2010","HA","2.3.2","SEA","Geo"
"EPI424952","duck_Vietnam_NCVD_890_2010","HA","2.3.2","SEA","Geo"
"EPI424984","duck_Vietnam_NCVD_1584_2012","HA","2.3.2","SEA","Geo"
"EPI425000","duck_Vietnam_NCVD_714_2011","HA","2.3.2","SEA","Geo"
"EPI425024","duck_Vietnam_NCVD_1884_2012","HA","2.3.2","SEA","Geo"
"EPI425040","duck_Vietnam_NCVD_758_2011","HA","2.3.2","SEA","Geo"
"EPI425104","duck_Vietnam_NCVD_1497_2012","HA","2.3.2","SEA","Geo"
"EPI425152","duck_Vietnam_NCVD_1935_2012","HA","2.3.2","SEA","Geo"
"EPI425160","duck_Vietnam_NCVD_1937_2012","HA","2.3.2","SEA","Geo"
"EPI425168","chicken_Vietnam_NCVD_854_2011","HA","2.3.2","SEA","Geo"
"EPI425184","duck_Vietnam_NCVD_1944_2012","HA","2.3.2","SEA","Geo"
"EPI425200","duck_Vietnam_NCVD129_7_2011","HA","2.3.2","SEA","Geo"
"EPI425216","duck_Vietnam_NCVD1_37_2011","HA","2.3.2","SEA","Geo"
"EPI425248","chicken_Vietnam_NCVD_1177_2012","HA","2.3.2","SEA","Geo"
"EPI425288","duck_Vietnam_NCVD_674_2011","HA","2.3.2","SEA","Geo"
"EPI425328","muscovy_duck_Vietnam_NCVD_1220_2012","HA","2.3.2","SEA","Geo"
"EPI425384","chicken_Vietnam_NCVD_1248_2012","HA","2.3.2","SEA","Geo"
"EPI425408","duck_Vietnam_NCVD_1269_2012","HA","2.3.2","SEA","Geo"
"EPI425416","duck_Vietnam_NCVD_1306_2012","HA","2.3.2","SEA","Geo"
"EPI425424","duck_Vietnam_NCVD_1312_2012","HA","2.3.2","SEA","Geo"
"EPI425496","duck_Vietnam_NCVD_931_2011","HA","2.3.2","SEA","Geo"
"EPI425528","chicken_Vietnam_NCVD_802_2011","HA","2.3.2","SEA","Geo"
"EPI425552","duck_Vietnam_NCVD_850_2011","HA","2.3.2","SEA","Geo"
"EPI425600","duck_Vietnam_NCVD_1463_2012","HA","2.3.2","SEA","Geo"
"EPI425608","chicken_Vietnam_NCVD_1963_2012","HA","2.3.2","SEA","Geo"
"EPI425632","duck_Vietnam_NCVD_1928_2012","HA","2.3.2","SEA","Geo"
"EPI425640","duck_Vietnam_NCVD_1931_2012","HA","2.3.2","SEA","Geo"
"EPI425672","duck_Vietnam_NCVD_1905_2012","HA","2.3.2","SEA","Geo"
"EPI425680","duck_Vietnam_NCVD_1593_2012","HA","2.3.2","SEA","Geo"
"EPI425688","duck_Vietnam_NCVD_1602_2012","HA","2.3.2","SEA","Geo"
"EPI425771","duck_Vietnam_NCVD_671_2011","HA","2.3.2","SEA","Geo"
"EPI425819","muscovy_duck_Vietnam_NCVD_1049_2011","HA","2.3.2","SEA","Geo"
"EPI425827","chicken_Vietnam_NCVD_1059_2011","HA","2.3.2","SEA","Geo"
"EPI425883","duck_Vietnam_NCVD_1182_2012","HA","2.3.2","SEA","Geo"
"EPI425923","duck_Vietnam_NCVD_1547_2012","HA","2.3.2","SEA","Geo"
"EPI425931","duck_Vietnam_NCVD_1544_2012","HA","2.3.2","SEA","Geo"
"EPI448031","crow_Bangladesh_1008_2011","HA","2.3.2","WA","Geo"
"EPI448039","crow_Bangladesh_1019_2011","HA","2.3.2","WA","Geo"
"EPI448063","crow_Bangladesh_1061_2011","HA","2.3.2","WA","Geo"
"EPI448103","duck_Bangladesh_1849_2011","HA","2.3.2","WA","Geo"
"EPI448119","environment_Bangladesh_1017_2011","HA","2.3.2","WA","Geo"
"EPI448143","chicken_Bangladesh_11303_2011","HA","2.3.2","WA","Geo"
"EPI448151","crow_Bangladesh_1056_2011","HA","2.3.2","WA","Geo"
"EPI448167","crow_Bangladesh_316T_2011","HA","2.3.2","WA","Geo"
"EPI448183","chicken_Bangladesh_3075_2011","HA","2.3.2","WA","Geo"
"EPI448191","goose_Bangladesh_4051T_2011","HA","2.3.2","WA","Geo"
"EPI448239","environment_Bangladesh_1018_2011","HA","2.3.2","WA","Geo"
"EPI448271","chicken_Bangladesh_42010_2012","HA","2.3.2","WA","Geo"
"EPI462793","mynah_Austria_quarantine_13063485_026_13","HA","2.3.2","E","Geo"
"EPI475755","chicken_Nepal_T_233_13","HA","2.3.2","WA","Geo"
"EPI498342","chicken_Yinmarbin_A295_2010","HA","2.3.2","SEA","Geo"
"EPI537680","Environment_East_Java_LBM_LM13_2012","HA","2.3.2","SEA","Geo"
"EPI553219","Chicken_Shandong_J01_2009","HA","2.3.2","CN","Geo"
"EPI553300","Chicken_Shandong_J06_2009","HA","2.3.2","CN","Geo"
"EPI553308","Duck_Shandong_Y01_2009","HA","2.3.2","CN","Geo"
"EPI553316","Duck_Shandong_Y02_2009","HA","2.3.2","CN","Geo"
"EPI556504","chicken_Nigeria_15VIR339_2_2015","HA","2.3.2","A","Geo"
"EPI592914","environment_Chongqing_02412_2012","HA","2.3.2","CN","Geo"
"EPI603561","Sea_Gull_Dubai_AR3443_25041_2014","HA","2.3.2","WA","Geo"
"EPI624914","Vietnam_14011801_2014","HA","2.3.2","SEA","Geo"
"EPI631928","rook_Sartlan_42_2015","HA","2.3.2","NA","Geo"
"EPI669760","Bar_headed_Goose_Qinghai_BTY2_2015_H5N1","HA","2.3.2","CN","Geo"
"EPI749145","Environment_Chongqing_47495_2015","HA","2.3.2","CN","Geo"
"EPI749153","Environment_Chongqing_45375_2015","HA","2.3.2","CN","Geo"
"EPI749169","Environment_Chongqing_45260_2015","HA","2.3.2","CN","Geo"
"EPI749177","Environment_Chongqing_45239_2015","HA","2.3.2","CN","Geo"
"EPI749185","Environment_Chongqing_45233_2015","HA","2.3.2","CN","Geo"
"EPI749201","Environment_Chongqing_45211_2015","HA","2.3.2","CN","Geo"
"EPI749233","Environment_Chongqing_45170_2015","HA","2.3.2","CN","Geo"
"EPI749241","Environment_Chongqing_45169_2015","HA","2.3.2","CN","Geo"
"EPI749249","Environment_Chongqing_45164_2015","HA","2.3.2","CN","Geo"
"EPI749257","Environment_Chongqing_45174_2015","HA","2.3.2","CN","Geo"
"EPI749273","Environment_Chongqing_45158_2015","HA","2.3.2","CN","Geo"
"EPI749281","Environment_Chongqing_45133_2015","HA","2.3.2","CN","Geo"
"EPI749289","Environment_Chongqing_45121_2015","HA","2.3.2","CN","Geo"
"EPI749297","Environment_Chongqing_45110_2015","HA","2.3.2","CN","Geo"
"EPI749313","Environment_Guangxi_14313_2013","HA","2.3.2","CN","Geo"
"EPI749345","environment_Chongqing_20363_2013","HA","2.3.2","CN","Geo"
"EPI749353","environment_Guangxi_03235_2012","HA","2.3.2","CN","Geo"
"EPI749361","environment_Guangdong_02811_2012","HA","2.3.2","CN","Geo"
"EPI749369","environment_Guangxi_03206_2012","HA","2.3.2","CN","Geo"
"EPI749401","Environment_Jilin_99001_2014","HA","2.3.2","CN","Geo"
"EPI749409","Environment_Chongqing_99165_2014","HA","2.3.2","CN","Geo"
"EPI749433","Environment_Hunan_15252_2014","HA","2.3.2","CN","Geo"
"EPI749441","Environment_Chongqing_28976_2014","HA","2.3.2","CN","Geo"
"EPI749457","Environment_Chongqing_28922_2014","HA","2.3.2","CN","Geo"
"EPI760584","poultry_Bangladesh_91392_2013","HA","2.3.2","WA","Geo"
"EPI774540","chicken_Lebanon_16VIR2783_20_2016","HA","2.3.2","WA","Geo"
"EPI827075","duck_Vietnam_NCVD1584_2012_NIBRG_301","HA","2.3.2","SEA","Geo"
"EPI1040221","chicken_Togo_17RS1021_7_2017","HA","2.3.2","A","Geo"
"EPI1055317","environment_Wuxi_4689_2015","HA","2.3.2","CN","Geo"
"EPI1055320","environment_Wuxi_5068_2015","HA","2.3.2","CN","Geo"
"EPI1055323","environment_Wuxi_5081_2015","HA","2.3.2","CN","Geo"
"EPI1055328","environment_Wuxi_1275_2014","HA","2.3.2","CN","Geo"
"EPI1055341","environment_Wuxi_1772_2014","HA","2.3.2","CN","Geo"
"EPI1055344","chicken_Wuxi_2722_2014","HA","2.3.2","CN","Geo"
"EPI267032","Hubei_1_2010","HA","2.3.2","CN","Geo"
"EPI284439","chicken_Vietnam_NCVD_389_2009","HA","2.3.2","SEA","Geo"
"EPI284440","chicken_Vietnam_NCVD_390_2009","HA","2.3.2","SEA","Geo"
"EPI284469","chicken_Vietnam_NCVD_399_2010","HA","2.3.2","SEA","Geo"
"EPI284548","duck_Vietnam_NCVD_423_2010","HA","2.3.2","SEA","Geo"
"EPI330996","duck_Vietnam_NCVD_431_2010","HA","2.3.2","SEA","Geo"
"EPI330998","chicken_Vietnam_NCVD_668_2010","HA","2.3.2","SEA","Geo"
"EPI332698","chicken_Vietnam_NCVD_700_2011","HA","2.3.2","SEA","Geo"
"EU874899","chicken_Guangdong_1_2005","HA","2.3.2","CN","Geo"
"EU930884","duck_Vietnam_201_2005","HA","2.3.2","SEA","Geo"
"FJ517645","pigeon_Zhejiang_17_2005","HA","2.3.2","CN","Geo"
"GQ227383","pika_Qinghai_SHK_2007","HA","2.3.2","CN","Geo"
"GQ338087","great_crested_grebe_Tyva_120_2009","HA","2.3.2","NA","Geo"
"GQ386142","grebe_Tyva_3_2009","HA","2.3.2","NA","Geo"
"GQ412051","chicken_Korea_ISQ250_2008","HA","2.3.2","NA","Geo"
"GU182150","duck_Hunan_3_2007","HA","2.3.2","CN","Geo"
"GU182158","chicken_Hunan_8_2008","HA","2.3.2","CN","Geo"
"GU182166","duck_Hunan_8_2008","HA","2.3.2","CN","Geo"
"GU182198","environment_Hunan_5_25_2007","HA","2.3.2","CN","Geo"
"GU477547","great_black_headed_gull_Qinghai_8_2009","HA","2.3.2","CN","Geo"
"GU477548","brown_headed_gull_Qinghai_9_2009","HA","2.3.2","CN","Geo"
"HM172105","duck_Hunan_70_2004","HA","2.3.2","CN","Geo"
"HQ131674","great_crested_grebe_Tyva_22_2010","HA","2.3.2","NA","Geo"
"HQ636461","Hong_Kong_6841_2010","HA","2.3.2","CN","Geo"
"JN055379","chicken_Vietnam_27265_2009","HA","2.3.2","SEA","Geo"
"JN646713","duck_Zhejiang_213_2011","HA","2.3.2","CN","Geo"
"JN646715","duck_Zhejiang_2242_2011","HA","2.3.2","CN","Geo"
"JN807973","eurasian_eagle_owl_Korea_Q178_2011","HA","2.3.2","NA","Geo"
"JN807979","chicken_Korea_Iksan_2010","HA","2.3.2","NA","Geo"
"JN986881","duck_Vietnam_QT801_2011","HA","2.3.2","SEA","Geo"
"JQ609543","duck_Bangladesh_D_1_2011","HA","2.3.2","WA","Geo"
"JQ638674","goose_Jiangsu_k0403_2010","HA","2.3.2","CN","Geo"
"JQ936711","chicken_Sagaing_295_2010","HA","2.3.2","SEA","Geo"
"JX534557","wild_duck_Shandong_2_2011","HA","2.3.2","CN","Geo"
"JX534573","wild_duck_Jilin_HF_2011","HA","2.3.2","CN","Geo"
"JX534581","wild_duck_Jilin_ZF_2011","HA","2.3.2","CN","Geo"
"JX534589","wild_duck_Fujian_1_2011","HA","2.3.2","CN","Geo"
"JX576788","environment_Hunan_3_2011","HA","2.3.2","CN","Geo"
"KC357320","barn_swallow_Hong_Kong_1161_2010","HA","2.3.2","CN","Geo"
"KC535009","Japanese_white_eye_Taoyuan_Q454_2012","HA","2.3.2","SEA","Geo"
"KC616463","chicken_Bangladesh_12VIR_7140_2_2012","HA","2.3.2","WA","Geo"
"KC616465","chicken_Bangladesh_12VIR_7140_4_2012","HA","2.3.2","WA","Geo"
"KC616468","chicken_Bangladesh_12VIR_7140_7_2012","HA","2.3.2","WA","Geo"
"KC616471","chicken_Bangladesh_12VIR_7140_10_2012","HA","2.3.2","WA","Geo"
"KC616472","chicken_Bangladesh_12VIR_7140_11_2012","HA","2.3.2","WA","Geo"
"KC616474","chicken_Bangladesh_12VIR_7140_13_2012","HA","2.3.2","WA","Geo"
"KC616475","chicken_Bangladesh_12VIR_7140_14_2012","HA","2.3.2","WA","Geo"
"KC616477","chicken_Bangladesh_12VIR_7140_16_2012","HA","2.3.2","WA","Geo"
"KC616478","chicken_Bangladesh_12VIR_7140_17_2012","HA","2.3.2","WA","Geo"
"KC616479","chicken_Bangladesh_12VIR_7140_18_2012","HA","2.3.2","WA","Geo"
"KC616480","chicken_Bangladesh_12VIR_7140_19_2012","HA","2.3.2","WA","Geo"
"KF042284","hill_myna_Heilongjiang_0704_2012","HA","2.3.2","CN","Geo"
"KF501061","herring_gull_Mongolia_834T2_2009","HA","2.3.2","NA","Geo"
"KF572434","wild_bird_Hong_Kong_07035_1_2011","HA","2.3.2","CN","Geo"
"KF715205","duck_Bangladesh_19097_2013","HA","2.3.2","WA","Geo"
"KF813113","tiger_Jiangsu_01_2013","HA","2.3.2","CN","Geo"
"KF888395","quail_Bangladesh_19250_2013","HA","2.3.2","WA","Geo"
"KF888408","duck_Bangladesh_19099_2013","HA","2.3.2","WA","Geo"
"KF888424","duck_Bangladesh_17753_2012","HA","2.3.2","WA","Geo"
"KF888440","duck_Bangladesh_18949_2013","HA","2.3.2","WA","Geo"
"KF888448","environment_Bangladesh_15661_2012","HA","2.3.2","WA","Geo"
"KF888456","chicken_Bangladesh_18065_2012","HA","2.3.2","WA","Geo"
"KF888461","chicken_Bangladesh_15210_2012","HA","2.3.2","WA","Geo"
"KF888463","environment_Bangladesh_18989_2013","HA","2.3.2","WA","Geo"
"KF888494","environment_Bangladesh_12197_2011","HA","2.3.2","WA","Geo"
"KF888502","chicken_Bangladesh_15079_2012","HA","2.3.2","WA","Geo"
"KF888509","environment_Bangladesh_18948_2013","HA","2.3.2","WA","Geo"
"KF888514","chicken_Bangladesh_18248_2012","HA","2.3.2","WA","Geo"
"KF888530","chicken_Bangladesh_15085_2012","HA","2.3.2","WA","Geo"
"KF888559","environment_Bangladesh_19338_2013","HA","2.3.2","WA","Geo"
"KJ003987","duck_Hubei_xn_2007","HA","2.3.2","CN","Geo"
"KJ162126","chicken_India_07CA02_2013","HA","2.3.2","WA","Geo"
"KJ162131","chicken_India_08CA03_2013","HA","2.3.2","WA","Geo"
"KJ397915","migratory_bird_Bangladesh_P18_2010","HA","2.3.2","WA","Geo"
"KJ522766","chicken_Hubei_RA18_2010","HA","2.3.2","CN","Geo"
"KJ643888","chicken_India_01CA03_2012","HA","2.3.2","WA","Geo"
"KJ682232","chicken_Bhutan_347_2012","HA","2.3.2","WA","Geo"
"KJ682234","chicken_Bhutan_317_2012","HA","2.3.2","WA","Geo"
"KJ682236","chicken_Bhutan_331_2012","HA","2.3.2","WA","Geo"
"KJ682250","chicken_Bhutan_406_2012","HA","2.3.2","WA","Geo"
"KJ682252","chicken_Bhutan_933_2012","HA","2.3.2","WA","Geo"
"KJ682256","chicken_Bhutan_367_2012","HA","2.3.2","WA","Geo"
"KJ682266","wild_bird_Bhutan_326_2012","HA","2.3.2","WA","Geo"
"KJ682278","chicken_Bhutan_298_2012","HA","2.3.2","WA","Geo"
"KJ682298","wild_bird_Bhutan_356_2012","HA","2.3.2","WA","Geo"
"KJ682302","chicken_Bhutan_505_2012","HA","2.3.2","WA","Geo"
"KM027999","swine_Guangxi_592_2011","HA","2.3.2","CN","Geo"
"KM267747","crow_India_11TI11_2011","HA","2.3.2","WA","Geo"
"KM267755","crow_India_11TI16_2011","HA","2.3.2","WA","Geo"
"KM267765","chicken_India_03CA03_2012","HA","2.3.2","WA","Geo"
"KM267792","pigeon_Bhutan_01BR01_2012","HA","2.3.2","WA","Geo"
"KM267805","chicken_Bangladesh_13VIR5602_2_2013","HA","2.3.2","WA","Geo"
"KM267834","duck_Bangladesh_14VIR1121_16_2013","HA","2.3.2","WA","Geo"
"KM267868","chicken_Bangladesh_14VIR2665_23_2014","HA","2.3.2","WA","Geo"
"KM267884","chicken_Bangladesh_14VIR2665_25_2014","HA","2.3.2","WA","Geo"
"KM273111","crow_India_01CA08_2012","HA","2.3.2","WA","Geo"
"KM273114","crow_India_01CA10_2012","HA","2.3.2","WA","Geo"
"KM386923","duck_India_01CA01_2012","HA","2.3.2","WA","Geo"
"KM821607","chicken_Khanhhoa_CVVI_02_2013","HA","2.3.2","SEA","Geo"
"KM821611","duck_Khanhhoa_CVVI_06_2013","HA","2.3.2","SEA","Geo"
"KM821626","duck_Khanhhoa_CVVI_21_2013","HA","2.3.2","SEA","Geo"
"KM821628","duck_Khanhhoa_CVVI_23_2013","HA","2.3.2","SEA","Geo"
"KM821630","duck_Khanhhoa_CVVI_25_2014","HA","2.3.2","SEA","Geo"
